mmsi,vessel_name,flag,vessel_type,length_m,gear_type,total_visits,total_hours_in_mpa,mean_speed_knots,max_speed_knots,speed_std_knots,visits_with_fishing,visits_with_dark_periods,total_violations,weighted_violations,critical_count,high_count,medium_count,low_count,violation_types,dark_events,total_dark_hours,avg_dark_hours,gap_events,total_gap_hours,violation_score,dark_vessel_score_norm,fishing_score,repeat_visit_score,anomaly_score,is_anomaly,flag_state_risk,composite_risk_score,risk_category
257064490,RAV,NOR,OTHER_PURSE_SEINES,,,1,71.84833333333334,0.0,0.0,0,1,1,9,3.15,0,0,9,0,ILLEGAL_FISHING,8,7616.134814815556,0.0,8,7616.134814815556,0.315,1.0,0.35924166666666674,0.1,0.0,0,0.25,0.3503,MEDIUM
258265000,NORDERVEG,NOR,OTHER_PURSE_SEINES,,,1,70.16944444444447,0.0,0.0,0,1,1,9,3.15,0,0,9,0,ILLEGAL_FISHING,8,7617.627160493334,0.0,8,7617.627160493334,0.315,1.0,0.3508472222222223,0.1,0.0,0,0.25,0.3482,MEDIUM
432936000,KOEI MARU NO.78,JPN,DRIFTING_LONGLINES,,,1,62.4211111111111,0.0,0.0,0,1,1,8,2.8,0,0,8,0,ILLEGAL_FISHING,7,7505.381527777778,0.0,7,7505.381527777778,0.27999999999999997,1.0,0.3121055555555555,0.1,0.0,0,0.35,0.3465,MEDIUM
211238930,Unknown,DEU,TRAWLERS,,,1,70.42666666666666,0.0,0.0,0,1,1,9,3.15,0,0,9,0,ILLEGAL_FISHING,8,7617.398518517778,0.0,8,7617.398518517778,0.315,1.0,0.3521333333333333,0.1,0.0,0,0.2,0.341,MEDIUM
258308000,BIRKELAND,NOR,INCONCLUSIVE,,,1,67.68499999999999,0.0,0.0,0,1,1,8,2.8,0,0,8,0,ILLEGAL_FISHING,7,7500.775625,0.0,7,7500.775625,0.27999999999999997,1.0,0.3384249999999999,0.1,0.0,0,0.25,0.3381,MEDIUM
259132000,STEINEVIK,NOR,FISHING,,,1,66.85611111111113,0.0,0.0,0,1,1,8,2.8,0,0,8,0,ILLEGAL_FISHING,7,7501.500902777778,0.0,7,7501.500902777778,0.27999999999999997,1.0,0.3342805555555557,0.1,0.0,0,0.25,0.3371,MEDIUM
259390000,Unknown,NOR,OTHER_PURSE_SEINES,,,1,65.1197222222222,0.0,0.0,0,1,1,8,2.8,0,0,8,0,ILLEGAL_FISHING,7,7503.0202430555555,0.0,7,7503.0202430555555,0.27999999999999997,1.0,0.325598611111111,0.1,0.0,0,0.25,0.3349,MEDIUM
259526000,MANON,NOR,OTHER_PURSE_SEINES,,,1,63.91611111111112,0.0,0.0,0,1,1,8,2.8,0,0,8,0,ILLEGAL_FISHING,7,7504.073402777778,0.0,7,7504.073402777778,0.27999999999999997,1.0,0.3195805555555556,0.1,0.0,0,0.25,0.3334,MEDIUM
257685800,M YTTERSTAD,NOR,OTHER_PURSE_SEINES,,,1,63.61805555555554,0.0,0.0,0,1,1,8,2.8,0,0,8,0,ILLEGAL_FISHING,7,7504.334201388889,0.0,7,7504.334201388889,0.27999999999999997,1.0,0.3180902777777777,0.1,0.0,0,0.25,0.333,MEDIUM
224273000,PEIXEMAR DOS,ESP,TRAWLERS,,,1,44.21888888888889,0.0,0.0,0,1,1,6,2.1,0,0,6,0,ILLEGAL_FISHING,5,7163.1509259263885,0.0,5,7163.1509259263885,0.21000000000000002,1.0,0.22109444444444445,0.1,0.0,0,0.45,0.3248,MEDIUM
431682000,CHOKYU MARU NO.11,JPN,DRIFTING_LONGLINES,,,1,50.01972222222223,0.0,0.0,0,1,1,6,2.1,0,0,6,0,ILLEGAL_FISHING,5,7158.3168981486115,0.0,5,7158.3168981486115,0.21000000000000002,1.0,0.25009861111111115,0.1,0.0,0,0.35,0.317,MEDIUM
257001650,Unknown,NOR,FISHING,,,1,52.68805555555556,0.0,0.0,0,1,1,7,2.45,0,0,7,0,ILLEGAL_FISHING,6,7442.838809523333,0.0,6,7442.838809523333,0.24500000000000002,1.0,0.2634402777777778,0.1,0.0,0,0.25,0.3124,MEDIUM
273443750,POLARIS,RUS,DRIFTING_LONGLINES,,,1,16.493611111111107,0.0,0.0,0,1,0,2,0.2,0,0,0,2,ILLEGAL_FISHING,1,4359.7531944444445,0.0,1,4359.7531944444445,0.02,1.0,0.08246805555555553,0.1,0.0,0,0.85,0.3121,MEDIUM
